,LATITUDE,LONGITUDE,TIME,WIND SPEED,PRESSURE,STATUS,NAME
133,12.2,-28.9,08/13/06Z,30,1006,TROPICAL DEPRESSION,atlantic-2007-dean
134,12.1,-30.7,08/13/12Z,30,1005,TROPICAL DEPRESSION,atlantic-2007-dean
135,12.0,-32.4,08/13/18Z,30,1005,TROPICAL DEPRESSION,atlantic-2007-dean
136,11.9,-34.5,08/14/00Z,30,1005,TROPICAL DEPRESSION,atlantic-2007-dean
137,11.8,-36.5,08/14/06Z,30,1005,TROPICAL DEPRESSION,atlantic-2007-dean
138,11.8,-38.3,08/14/12Z,35,1004,TROPICAL STORM,atlantic-2007-dean
139,11.8,-40.1,08/14/18Z,40,1002,TROPICAL STORM,atlantic-2007-dean
140,11.9,-41.7,08/15/00Z,50,997,TROPICAL STORM,atlantic-2007-dean
141,12.0,-43.4,08/15/06Z,50,997,TROPICAL STORM,atlantic-2007-dean
142,12.3,-45.1,08/15/12Z,50,997,TROPICAL STORM,atlantic-2007-dean
143,12.8,-47.0,08/15/18Z,55,994,TROPICAL STORM,atlantic-2007-dean
144,13.0,-49.2,08/16/00Z,60,991,TROPICAL STORM,atlantic-2007-dean
145,13.2,-51.3,08/16/06Z,70,984,HURRICANE-1,atlantic-2007-dean
146,13.5,-53.3,08/16/12Z,80,972,HURRICANE-1,atlantic-2007-dean
147,13.8,-55.5,08/16/18Z,80,972,HURRICANE-1,atlantic-2007-dean
148,14.0,-57.7,08/17/00Z,80,976,HURRICANE-1,atlantic-2007-dean
149,14.2,-59.8,08/17/06Z,80,975,HURRICANE-1,atlantic-2007-dean
150,14.4,-61.7,08/17/12Z,90,967,HURRICANE-2,atlantic-2007-dean
151,14.8,-63.5,08/17/18Z,110,961,HURRICANE-3,atlantic-2007-dean
152,14.9,-65.1,08/18/00Z,125,944,HURRICANE-4,atlantic-2007-dean
153,15.0,-66.6,08/18/06Z,145,929,HURRICANE-5,atlantic-2007-dean
154,15.4,-68.0,08/18/12Z,145,923,HURRICANE-5,atlantic-2007-dean
155,15.9,-69.5,08/18/18Z,130,930,HURRICANE-4,atlantic-2007-dean
156,16.1,-71.0,08/19/00Z,120,920,HURRICANE-4,atlantic-2007-dean
157,16.4,-72.6,08/19/06Z,120,921,HURRICANE-4,atlantic-2007-dean
158,16.8,-74.3,08/19/12Z,125,923,HURRICANE-4,atlantic-2007-dean
159,17.1,-76.0,08/19/18Z,125,930,HURRICANE-4,atlantic-2007-dean
160,17.5,-77.8,08/20/00Z,125,926,HURRICANE-4,atlantic-2007-dean
161,17.6,-79.8,08/20/06Z,130,926,HURRICANE-4,atlantic-2007-dean
162,17.8,-81.5,08/20/12Z,130,926,HURRICANE-4,atlantic-2007-dean
163,18.0,-83.3,08/20/18Z,135,924,HURRICANE-4,atlantic-2007-dean
164,18.2,-85.1,08/21/00Z,145,914,HURRICANE-5,atlantic-2007-dean
165,18.6,-86.9,08/21/06Z,150,907,HURRICANE-5,atlantic-2007-dean
166,18.7,-87.7,08/21/08Z,150,905,HURRICANE-5,atlantic-2007-dean
