,MONTH,DAY,HOUR,LATITUDE,LONGITUDE,TIME,WIND SPEED,PRESSURE,STATUS,NAME,DISTANCE,GRID,DIRECTION
0,08,13,12,12.1,-30.7,08/13/12Z,30,1005,TROPICAL DEPRESSION,atlantic-2007-dean,121.77823152292402,43.0,256.67270225416155
1,08,13,18,12.0,-32.4,08/13/18Z,30,1005,TROPICAL DEPRESSION,atlantic-2007-dean,115.0781119211681,44.0,245.14682723198973
2,08,14,00,11.9,-34.5,08/14/00Z,30,1005,TROPICAL DEPRESSION,atlantic-2007-dean,142.1194497300244,46.0,311.2134567065616
3,08,14,06,11.8,-36.5,08/14/06Z,30,1005,TROPICAL DEPRESSION,atlantic-2007-dean,135.41795410638727,48.0,272.39996009489187
4,08,14,12,11.8,-38.3,08/14/12Z,35,1004,TROPICAL STORM,atlantic-2007-dean,121.7397258042066,50.0,226.55159710356205
5,08,14,18,11.8,-40.1,08/14/18Z,40,1002,TROPICAL STORM,atlantic-2007-dean,121.73972580420701,52.0,299.7727230525337
6,08,15,00,11.9,-41.7,08/15/00Z,50,997,TROPICAL STORM,atlantic-2007-dean,108.41373694781781,54.0,298.1831407675968
7,08,15,06,12.0,-43.4,08/15/06Z,50,997,TROPICAL STORM,atlantic-2007-dean,115.12066078970761,55.0,245.10482658672302
8,08,15,12,12.3,-45.1,08/15/12Z,50,997,TROPICAL STORM,atlantic-2007-dean,116.68325496226795,57.0,256.65262504411476
9,08,15,18,12.8,-47.0,08/15/18Z,55,994,TROPICAL STORM,atlantic-2007-dean,132.715347446052,60.0,253.73439746006778
10,08,16,00,13.0,-49.2,08/16/00Z,60,991,TROPICAL STORM,atlantic-2007-dean,148.81154177377522,62.0,312.43218802882797
11,08,16,06,13.2,-51.3,08/16/06Z,70,984,HURRICANE-1,atlantic-2007-dean,141.99371781157234,64.0,266.1169215021815
12,08,16,12,13.5,-53.3,08/16/12Z,80,972,HURRICANE-1,atlantic-2007-dean,136.04058139945096,67.0,213.23285628060373
13,08,16,18,13.8,-55.5,08/16/18Z,80,972,HURRICANE-1,atlantic-2007-dean,149.15876198430647,69.0,337.3000247247561
14,08,17,00,14.0,-57.7,08/17/00Z,80,976,HURRICANE-1,atlantic-2007-dean,148.19931987787774,72.0,341.4763910495539
15,08,17,06,14.2,-59.8,08/17/06Z,80,975,HURRICANE-1,atlantic-2007-dean,141.40102605052462,74.0,176.883454307859
16,08,17,12,14.4,-61.7,08/17/12Z,90,967,HURRICANE-2,atlantic-2007-dean,127.95788702001484,76.0,36.32861599540746
17,08,17,18,14.8,-63.5,08/17/18Z,110,961,HURRICANE-3,atlantic-2007-dean,123.48413516857107,78.0,40.35009335484851
18,08,18,00,14.9,-65.1,08/18/00Z,125,944,HURRICANE-4,atlantic-2007-dean,107.08003436654391,80.0,123.0133809705017
19,08,18,06,15.0,-66.6,08/18/06Z,145,929,HURRICANE-5,atlantic-2007-dean,100.36994292944108,82.0,123.16701360218072
20,08,18,12,15.4,-68.0,08/18/12Z,145,923,HURRICANE-5,atlantic-2007-dean,97.35182450739384,83.0,73.46169256749386
21,08,18,18,15.9,-69.5,08/18/18Z,130,930,HURRICANE-4,atlantic-2007-dean,105.60768824980438,85.0,101.71073747572163
41,09,25,18,11.1,-36.2,09/25/18Z,30,1011,TROPICAL DEPRESSION,atlantic-1992-8,101.9529464678149,47.0,232.9169129587805
42,09,26,00,11.2,-37.7,09/26/00Z,30,1011,TROPICAL DEPRESSION,atlantic-1992-8,101.91820010691288,49.0,191.68435016423064
43,09,26,06,11.5,-39.2,09/26/06Z,25,1012,TROPICAL DEPRESSION,atlantic-1992-8,103.70563613569223,51.0,266.7888563527857
44,09,26,12,11.8,-40.7,09/26/12Z,25,1013,TROPICAL DEPRESSION,atlantic-1992-8,103.59962656876431,52.0,313.9937018440764
45,09,26,18,12.3,-41.9,09/26/18Z,25,1012,TROPICAL DEPRESSION,atlantic-1992-8,88.13754899438112,54.0,258.9259051373027
46,09,27,00,12.8,-43.1,09/27/00Z,30,1011,TROPICAL DEPRESSION,atlantic-1992-8,87.9957599817375,56.0,262.14358537620666
